Model,Accuracy,Precision,Recall,F1 Score
Logistic Regression,0.6714031971580817,0.28187919463087246,0.72,0.40514469453376206
Random Forest,0.8428063943161634,0.45,0.05142857142857143,0.09230769230769231
SVM,0.6740674955595026,0.2746478873239437,0.6685714285714286,0.389351081530782
KNN,0.8303730017761989,0.35714285714285715,0.11428571428571428,0.17316017316017315
